epoch,train_loss,train_accuracy,model_internal,model,fold,history_file
2,0.4267709281967907,0.9941463414634146,EfficientNet_B0,EfficientNet-B0,9,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_09/history.csv
3,0.4200468191286413,0.9941463414634146,EfficientNet_B0,EfficientNet-B0,9,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_09/history.csv
4,0.4084516631684652,0.9990243902439024,EfficientNet_B0,EfficientNet-B0,9,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_09/history.csv
5,0.4031683180971843,0.9990243902439024,EfficientNet_B0,EfficientNet-B0,9,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_09/history.csv
6,0.4075072698476838,0.9965853658536584,EfficientNet_B0,EfficientNet-B0,9,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_09/history.csv
7,0.4014756122449549,0.9985365853658535,EfficientNet_B0,EfficientNet-B0,9,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_09/history.csv
8,0.3973721289053196,0.9995121951219512,EfficientNet_B0,EfficientNet-B0,9,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_09/history.csv
1,0.6742645590479781,0.8970731707317073,EfficientNet_B0,EfficientNet-B0,10,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_10/history.csv
2,0.4329870622332503,0.9917073170731708,EfficientNet_B0,EfficientNet-B0,10,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_10/history.csv
3,0.422818825477507,0.9951219512195122,EfficientNet_B0,EfficientNet-B0,10,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_10/history.csv
